model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_45_Mc_dist,22.0,26.0,71.0,75.0,23.0,65.0,22.0,71.0,23.0,23.0,38.0,81.0,27.0,59.0,23.0,26.0,75.0,22.0,65.0,75.0
IGRP_WF_46_Mc_dist,73.0,76.0,21.0,24.0,60.0,14.0,73.0,21.0,69.0,60.0,22.0,1.0,42.0,89.0,60.0,76.0,24.0,69.0,14.0,28.0
IGRP_WF_47_Mc_dist,28.0,10.0,87.0,69.0,47.0,89.0,28.0,87.0,37.0,47.0,60.0,1.0,68.0,24.0,47.0,10.0,69.0,37.0,89.0,60.0
IGRP_WF_48_Mc_dist,32.0,83.0,14.0,65.0,12.0,6.0,32.0,14.0,22.0,12.0,21.0,83.0,4.0,72.0,12.0,83.0,65.0,23.0,6.0,74.0
IGRP_WF_49_Mc_dist,3.0,24.0,73.0,94.0,1.0,62.0,3.0,73.0,1.0,1.0,39.0,70.0,3.0,49.0,1.0,24.0,94.0,1.0,62.0,96.0
IGRP_WF_50_Mc_dist,58.0,64.0,33.0,39.0,44.0,27.0,58.0,33.0,56.0,44.0,25.0,54.0,36.0,91.0,44.0,64.0,39.0,56.0,27.0,41.0
IGRP_WF_51_Mc_dist,44.0,3.0,94.0,53.0,77.0,96.0,44.0,94.0,61.0,77.0,76.0,39.0,82.0,5.0,77.0,3.0,53.0,62.0,96.0,35.0
IGRP_WF_52_Mc_dist,10.0,40.0,56.0,87.0,4.0,43.0,10.0,56.0,4.0,4.0,10.0,51.0,6.0,67.0,4.0,40.0,87.0,6.0,43.0,91.0
IGRP_WF_53_Mc_dist,39.0,38.0,59.0,58.0,31.0,56.0,39.0,59.0,33.0,31.0,63.0,58.0,33.0,63.0,31.0,38.0,58.0,32.0,56.0,65.0
IGRP_WF_54_Mc_dist,57.0,80.0,17.0,40.0,32.0,7.0,57.0,17.0,46.0,32.0,41.0,59.0,18.0,95.0,32.0,80.0,40.0,47.0,7.0,50.0
